# starting wavelength: 3426.170
# ending wavelength: 7279.780
# wav flux eflux
3.429395171167419903e+03 1.468177163723603629e+00 1.422202848630526803e-02
3.432824566338588284e+03 1.457985702570859576e+00 1.380819190250778469e-02
3.436257390904928343e+03 1.446590455507881234e+00 1.091958393816078697e-02
3.439693648295834464e+03 1.436194084837045803e+00 9.474286408110776242e-03
3.443133341944131189e+03 1.423644230255492138e+00 7.534586757842710696e-03
3.446576475286076402e+03 1.411208015407936056e+00 6.608103424568070525e-03
3.450023051761363604e+03 1.401581110390390794e+00 5.390893064949072930e-03
3.453473074813126004e+03 1.394255004788074181e+00 5.580294990192757182e-03
3.456926547887940615e+03 1.389998111758716792e+00 5.378313812660797180e-03
3.460383474435829612e+03 1.387016250697194808e+00 4.776585708275620304e-03
3.463843857910266706e+03 1.385975404306324821e+00 4.474420213763485865e-03
3.467307701768178049e+03 1.386144095113083230e+00 4.280468245979545706e-03
3.470775009469947236e+03 1.386684199003187290e+00 4.092958126278669652e-03
3.474245784479418489e+03 1.387527535748461105e+00 3.993353056998304347e-03
3.477720030263898934e+03 1.388354404116522112e+00 3.996098765934275217e-03
3.481197750294164052e+03 1.388932709469010485e+00 4.151776064296778222e-03
3.484678948044459503e+03 1.385757878205144289e+00 4.177921043854808045e-03
3.488163626992504760e+03 1.382590170865915402e+00 4.093955141860288957e-03
3.491651790619498570e+03 1.378926445563392944e+00 4.105129774836536842e-03
3.495143442410119405e+03 1.373897589128946661e+00 3.970309157872844996e-03
3.498638585852530468e+03 1.367372892015592978e+00 3.974113315126045522e-03
3.502137224438384237e+03 1.359645715327419735e+00 4.087070899018096885e-03
3.505639361662823831e+03 1.350040163833454487e+00 4.510776520117243740e-03
3.509145001024487556e+03 1.339906738683937837e+00 4.480734740512032875e-03
3.512654146025513455e+03 1.328386334419079606e+00 4.377694085595706421e-03
3.516166800171540217e+03 1.317086999256074309e+00 4.287335799330418452e-03
3.519682966971712631e+03 1.304710680000535694e+00 4.193489660877749992e-03
3.523202649938685681e+03 1.291918611404639705e+00 3.962777227398742858e-03
3.526725852588625457e+03 1.280454950413317583e+00 3.809197932039770293e-03
3.530252578441215064e+03 1.269513769296123584e+00 3.634856409353463130e-03
3.533782831019657806e+03 1.259546423720675046e+00 3.316813947167890613e-03
3.537316613850678550e+03 1.251196071860743109e+00 3.156206633187600818e-03
3.540853930464530094e+03 1.245096907693195698e+00 3.181096586573131657e-03
3.544394784394995895e+03 1.242800573754365256e+00 2.860113996047641566e-03
3.547939179179392340e+03 1.239685280507941911e+00 3.139113260190375555e-03
3.551487118358572843e+03 1.238901187641085144e+00 3.236352216524123783e-03
3.555038605476932389e+03 1.240787179764732295e+00 3.277779678782273207e-03
3.558593644082410719e+03 1.244547763744279667e+00 3.373725510448055513e-03
3.562152237726494150e+03 1.249823910641220781e+00 3.688695316836065278e-03
3.565714389964221937e+03 1.257384446240981113e+00 4.139450640533970729e-03
3.569280104354187188e+03 1.264770393661617032e+00 4.144582687811339955e-03
3.572849384458542772e+03 1.274287557152983696e+00 4.057540717926492665e-03
3.576422233843002232e+03 1.282468916088981281e+00 4.077349748460116878e-03
3.579998656076846601e+03 1.289726399138837465e+00 4.397209209054056198e-03
3.583578654732924406e+03 1.299139023446502783e+00 4.704560717521827536e-03
3.587162233387658489e+03 1.308875723268305702e+00 4.990114429439741067e-03
3.590749395621047370e+03 1.320269987132699496e+00 5.211547314968567254e-03
3.594340145016669794e+03 1.333248577240605748e+00 5.360730517719743994e-03
3.597934485161687462e+03 1.347181286022824720e+00 5.444543124623627862e-03
3.601532419646850485e+03 1.361605554111269267e+00 4.947561144011839405e-03
3.605133952066498296e+03 1.379114343753619965e+00 5.349060182318890119e-03
3.608739086018566013e+03 1.394103593002135488e+00 5.506193265885336689e-03
3.612347825104585809e+03 1.408946566301763736e+00 5.451830801590042130e-03
3.615960172929691907e+03 1.424072899359193789e+00 5.676747386048204037e-03
3.619576133102622407e+03 1.439196189079714916e+00 5.976413264148767827e-03
3.623195709235726554e+03 1.452806516772765955e+00 6.187587466593126584e-03
3.626818904944963379e+03 1.463454824654877084e+00 5.974316094935140826e-03
3.630445723849909427e+03 1.470379474496365413e+00 5.900480506410423626e-03
3.634076169573760581e+03 1.474082730991680190e+00 5.804014168090250621e-03
3.637710245743335690e+03 1.473478732836503324e+00 5.376819790090503134e-03
3.641347955989080219e+03 1.466024502690847608e+00 4.645532845534164346e-03
3.644989303945070333e+03 1.450586347478367788e+00 4.201537445745871617e-03
3.648634293249016537e+03 1.428402541708176710e+00 4.234585533589902209e-03
3.652282927542266862e+03 1.397098923623475430e+00 4.262300157742775555e-03
3.655935210469810499e+03 1.357454339762218964e+00 3.496608913800625888e-03
3.659591145680281443e+03 1.312569341153920988e+00 3.509399271554192179e-03
3.663250736825963031e+03 1.261548045451219791e+00 3.553104001839956210e-03
3.666913987562790226e+03 1.206676285065414023e+00 3.684784799955040119e-03
3.670580901550354156e+03 1.147347375046272377e+00 4.639469494926966829e-03
3.674251482451905758e+03 1.084683199970065681e+00 6.024714104311540766e-03
3.677925733934358959e+03 1.020522746892240651e+00 6.938650245075341297e-03
3.681603659668294313e+03 9.577551057021408409e-01 7.205123971331155175e-03
3.685285263327964003e+03 9.015759641759379939e-01 7.066069943622030683e-03
3.688970548591293209e+03 8.471581464869274436e-01 6.373686027380556958e-03
3.692659519139885560e+03 7.999877201805304372e-01 5.339512744972237795e-03
3.696352178659026777e+03 7.592003525035382339e-01 4.384406893504412366e-03
3.700048530837686940e+03 7.321945693576741299e-01 5.517816409123114767e-03
3.703748579368525952e+03 7.129529529966853740e-01 5.919107519638648791e-03
3.707452327947895355e+03 6.986780773746060769e-01 6.166523399159966508e-03
3.711159780275844696e+03 6.934543993438123666e-01 6.037414530484327101e-03
3.714870940056121526e+03 6.927721951302975301e-01 5.703003257012990643e-03
3.718585810996179134e+03 6.956519996978732800e-01 4.895102358490607992e-03
3.722304396807176545e+03 6.988131881111020460e-01 4.490325222748120168e-03
3.726026701203984885e+03 7.040698612804774381e-01 4.193738523116650498e-03
3.729752727905190113e+03 7.100066269071020342e-01 3.602776419648114244e-03
3.733482480633096657e+03 7.145654475262914751e-01 3.453811860641350928e-03
3.737215963113731050e+03 7.134732179693817899e-01 2.669923641661303779e-03
