# starting wavelength: 3175.540
# ending wavelength: 9061.200
# wav flux eflux
3.178539725089442527e+03 1.545509299071616383e+00 5.587094655791537134e-02
3.181718264814533086e+03 1.475038449045659839e+00 4.113834888489698721e-02
3.184899983079348658e+03 1.423540961927758142e+00 3.018479419916382175e-02
3.188084883062429071e+03 1.387729279893320511e+00 2.293544104206391571e-02
3.191272967945492383e+03 1.359830598750825459e+00 1.805908550086408534e-02
3.194464240913438971e+03 1.344878751368880021e+00 1.422697509184668412e-02
3.197658705154353811e+03 1.337762483185526818e+00 1.162839277488434721e-02
3.200856363859509202e+03 1.335886197043822277e+00 9.893329172581089362e-03
3.204057220223369768e+03 1.337355783684801125e+00 9.273262543105649860e-03
3.207261277443593826e+03 1.339963919357639588e+00 9.365548084738399906e-03
3.210468538721038840e+03 1.343575702396329508e+00 8.567207465562958271e-03
3.213679007259760965e+03 1.348920279585289483e+00 7.746048537506433629e-03
3.216892686267021418e+03 1.356166375072654695e+00 7.047402209207162364e-03
3.220109578953289656e+03 1.366319655112508302e+00 6.450230206852951807e-03
3.223329688532243836e+03 1.377836129045136637e+00 6.070358040247322493e-03
3.226553018220777176e+03 1.390425594195659587e+00 5.737164827341084856e-03
3.229779571238999324e+03 1.403284600585032793e+00 5.511345135063106492e-03
3.233009350810239084e+03 1.418028048801812657e+00 5.322994220906084387e-03
3.236242360161050783e+03 1.433197166197358374e+00 5.200721036565363747e-03
3.239478602521212906e+03 1.448172169426843903e+00 5.236541381632602195e-03
3.242718081123734919e+03 1.461878819340360014e+00 5.208466106914192914e-03
3.245960799204859995e+03 1.476004883310116034e+00 5.620060369983232926e-03
3.249206760004065927e+03 1.487817763943175331e+00 5.980729982810534077e-03
3.252455966764071036e+03 1.497180184516333057e+00 6.008780788713280474e-03
3.255708422730835991e+03 1.506615068928248480e+00 6.200876918147357753e-03
3.258964131153567905e+03 1.514194067866926119e+00 6.117423078030367195e-03
3.262223095284722604e+03 1.519304026003612584e+00 5.672087311246330060e-03
3.265485318380008266e+03 1.521579910702534510e+00 5.138834233074950943e-03
3.268750803698389518e+03 1.520393781304320902e+00 5.303409732230225486e-03
3.272019554502088795e+03 1.516681611538776009e+00 6.059164765606464206e-03
3.275291574056592253e+03 1.508530943490832277e+00 7.233040466474056907e-03
3.278566865630649772e+03 1.499871560747755073e+00 7.531289685525906046e-03
3.281845432496281319e+03 1.492540532265632658e+00 7.490176946617628333e-03
3.285127277928778767e+03 1.482207091428824119e+00 7.789811775974752120e-03
3.288412405206708627e+03 1.472280803385674686e+00 7.559180806233870877e-03
3.291700817611916591e+03 1.462873797109266683e+00 7.193164152577560984e-03
3.294992518429529355e+03 1.454774861373739681e+00 6.600134007444970544e-03
3.298287510947960072e+03 1.447954608896900197e+00 5.753339852154391865e-03
3.301585798458909267e+03 1.443425577129515247e+00 4.981417211343121959e-03
3.304887384257369376e+03 1.442443024288792452e+00 5.213249009328091779e-03
3.308192271641627485e+03 1.446361420785698293e+00 6.040670036399481239e-03
3.311500463913270323e+03 1.452269545283448648e+00 6.619333381726621481e-03
3.314811964377184722e+03 1.459306887039727219e+00 6.455799119463888347e-03
3.318126776341563072e+03 1.466315422183164463e+00 6.043423571845070452e-03
3.321444903117905596e+03 1.472918676703671492e+00 6.000476879299912643e-03
3.324766348021024896e+03 1.481174855550321467e+00 5.937643331476801997e-03
3.328091114369046863e+03 1.491060823592800899e+00 5.730199475959905225e-03
3.331419205483417045e+03 1.501714674829852658e+00 5.635902327250497459e-03
3.334750624688901553e+03 1.513596513751386485e+00 5.538198980508190518e-03
3.338085375313591612e+03 1.526086750271704595e+00 5.457208006791828235e-03
