# starting wavelength: 3484.880
# ending wavelength: 7294.350
# wav flux eflux
3.488163626992504760e+03 4.889011580601492213e-01 3.059732253864726539e-02
3.491651790619498570e+03 4.935557586337860347e-01 2.245470557083206059e-02
3.495143442410119405e+03 4.950312971874358814e-01 1.740130857171001688e-02
3.498638585852530468e+03 4.914756214139769375e-01 1.340685044962016889e-02
3.502137224438384237e+03 4.853958350951674827e-01 1.088212643540116369e-02
3.505639361662823831e+03 4.786016690566944343e-01 9.823281565284775266e-03
3.509145001024487556e+03 4.731514755008512929e-01 8.709789713542630263e-03
3.512654146025513455e+03 4.694400873340539015e-01 8.093228587923205833e-03
3.516166800171540217e+03 4.665056575910635495e-01 6.764944643109208414e-03
3.519682966971712631e+03 4.656023342923071850e-01 6.222278037849027221e-03
3.523202649938685681e+03 4.646408143806199376e-01 5.544078070621106212e-03
3.526725852588625457e+03 4.640607014170519684e-01 5.033000163099362288e-03
3.530252578441215064e+03 4.645779148445976503e-01 4.668021256721235045e-03
3.533782831019657806e+03 4.657386143043641402e-01 4.395916537251972657e-03
3.537316613850678550e+03 4.677824012043538815e-01 4.243561000962368067e-03
3.540853930464530094e+03 4.699221994921142787e-01 4.105445626113460658e-03
3.544394784394995895e+03 4.721200966317874448e-01 3.993077045952937894e-03
3.547939179179392340e+03 4.743461144207760105e-01 3.915961942780044058e-03
3.551487118358572843e+03 4.774696183819089890e-01 3.894246484520985045e-03
3.555038605476932389e+03 4.797555739919596718e-01 3.898844021269031075e-03
3.558593644082410719e+03 4.828911739842014494e-01 3.777499580379811185e-03
3.562152237726494150e+03 4.847486003853349601e-01 3.499291534968401469e-03
3.565714389964221937e+03 4.849215209645041380e-01 3.666962281131435578e-03
3.569280104354187188e+03 4.857183385209284943e-01 3.593685856162066265e-03
3.572849384458542772e+03 4.846799704129498565e-01 3.666353596728521430e-03
3.576422233843002232e+03 4.825934184195110332e-01 3.287875190850736255e-03
3.579998656076846601e+03 4.799097897900034271e-01 2.860026472665362900e-03
3.583578654732924406e+03 4.776570293300033687e-01 2.878818110442727882e-03
3.587162233387658489e+03 4.739948648363342398e-01 2.865763719970241749e-03
3.590749395621047370e+03 4.705345134299315779e-01 2.978411411230416292e-03
3.594340145016669794e+03 4.686453527959690835e-01 2.986799743165969353e-03
3.597934485161687462e+03 4.654868421997049310e-01 3.127348353264932778e-03
3.601532419646850485e+03 4.622841602541017392e-01 3.286128891394257592e-03
3.605133952066498296e+03 4.601100297784744830e-01 3.404505903214204328e-03
3.608739086018566013e+03 4.588017349063897576e-01 3.524071699719695094e-03
3.612347825104585809e+03 4.591635996481063242e-01 3.563904126327201421e-03
3.615960172929691907e+03 4.599796229629670719e-01 3.739196882944459486e-03
3.619576133102622407e+03 4.604052769418759405e-01 3.771405198794363159e-03
3.623195709235726554e+03 4.616893244606337654e-01 3.919589433444233863e-03
3.626818904944963379e+03 4.634894257805184936e-01 4.020540687165593922e-03
3.630445723849909427e+03 4.654247339679510320e-01 3.999141096132799097e-03
3.634076169573760581e+03 4.673570539498315690e-01 3.889590687996037372e-03
3.637710245743335690e+03 4.696106156709592971e-01 3.835398912478985012e-03
3.641347955989080219e+03 4.713120414390004065e-01 4.064595780469747698e-03
3.644989303945070333e+03 4.718911708326576360e-01 4.333815652398089954e-03
3.648634293249016537e+03 4.730095350658496955e-01 4.691609971897500210e-03
3.652282927542266862e+03 4.761247005620668493e-01 4.637050017694452006e-03
3.655935210469810499e+03 4.797168162662702739e-01 4.617336274316262944e-03
3.659591145680281443e+03 4.851559880762248977e-01 5.250592046069942238e-03
3.663250736825963031e+03 4.896365518291861396e-01 5.611569617303273014e-03
3.666913987562790226e+03 4.938767031597470769e-01 6.037137368509573263e-03
