# starting wavelength: 3467.510
# ending wavelength: 7367.620
# wav flux eflux
3.470775009469947236e+03 9.360073321455882889e-01 1.360440993993456901e-02
3.474245784479418489e+03 9.396344777877722043e-01 9.744689717560931635e-03
3.477720030263898934e+03 9.408046672373900909e-01 8.331611047972951184e-03
3.481197750294164052e+03 9.408128324308979717e-01 7.391359062452822551e-03
3.484678948044459503e+03 9.412762258725070330e-01 6.560051450187567683e-03
3.488163626992504760e+03 9.432223956341825311e-01 5.634099447563759543e-03
3.491651790619498570e+03 9.471040199419010763e-01 4.534851685370083069e-03
3.495143442410119405e+03 9.521806856367671656e-01 3.983164305036653897e-03
3.498638585852530468e+03 9.563729684258844843e-01 3.252670755103765146e-03
3.502137224438384237e+03 9.600120429125456045e-01 2.949341497217147952e-03
3.505639361662823831e+03 9.626192506296143980e-01 2.741900003726257824e-03
3.509145001024487556e+03 9.641361201334509579e-01 2.660004016644965455e-03
3.512654146025513455e+03 9.650703549386386859e-01 2.500934653457278101e-03
3.516166800171540217e+03 9.654648089213830886e-01 2.383100047600939225e-03
3.519682966971712631e+03 9.653120143658577845e-01 2.336190002499543249e-03
3.523202649938685681e+03 9.652846781924097064e-01 2.241787694484606401e-03
3.526725852588625457e+03 9.655373457159037720e-01 2.140869596754788051e-03
3.530252578441215064e+03 9.661697211675147612e-01 2.077463868883086887e-03
3.533782831019657806e+03 9.668298680790321509e-01 2.092463987051146248e-03
3.537316613850678550e+03 9.666869080896631772e-01 2.114112345621447717e-03
3.540853930464530094e+03 9.670810925350410425e-01 2.194113901450571013e-03
3.544394784394995895e+03 9.673545595951020815e-01 2.303300091564319807e-03
3.547939179179392340e+03 9.669874195434075004e-01 2.313683459670017300e-03
3.551487118358572843e+03 9.662204123964033275e-01 2.304797496346117341e-03
3.555038605476932389e+03 9.644249754347630210e-01 2.367278222026718629e-03
3.558593644082410719e+03 9.624742795395073713e-01 2.468154096786983991e-03
3.562152237726494150e+03 9.614152299196995211e-01 2.473716976017409624e-03
3.565714389964221937e+03 9.607463584235247378e-01 2.463386884682602484e-03
3.569280104354187188e+03 9.605299719724447183e-01 2.419574359873918716e-03
3.572849384458542772e+03 9.605484918073751155e-01 2.384115550545818588e-03
3.576422233843002232e+03 9.605682796229801923e-01 2.347845812758972851e-03
3.579998656076846601e+03 9.604166106706963912e-01 2.421227962443798891e-03
3.583578654732924406e+03 9.600612518868273382e-01 2.417478927049679458e-03
3.587162233387658489e+03 9.596206553233626035e-01 2.410284217097781109e-03
3.590749395621047370e+03 9.589675112025412007e-01 2.391699845208942500e-03
3.594340145016669794e+03 9.572001729083268184e-01 2.270682345194313667e-03
3.597934485161687462e+03 9.559010037514897862e-01 2.174018847675710225e-03
