# starting wavelength: 3457.130
# ending wavelength: 7345.560
# wav flux eflux
3.460383474435829612e+03 4.180436160634307119e-01 1.639974891826491074e-02
3.463843857910266706e+03 4.052980604524000774e-01 1.282340180170580060e-02
3.467307701768178049e+03 3.940597072923781030e-01 9.854457480345357734e-03
3.470775009469947236e+03 3.800234074058944089e-01 8.839440296735232364e-03
3.474245784479418489e+03 3.675005282756946823e-01 8.514418788250018369e-03
3.477720030263898934e+03 3.587156801844302301e-01 7.233826373384660488e-03
3.481197750294164052e+03 3.524272026587847995e-01 5.901259329072184277e-03
3.484678948044459503e+03 3.475816275870747263e-01 5.214735296182730108e-03
3.488163626992504760e+03 3.438905777466311764e-01 4.512153082631645967e-03
3.491651790619498570e+03 3.407219456183925854e-01 3.987987354203456625e-03
3.495143442410119405e+03 3.382076308831579170e-01 3.595647906145398726e-03
3.498638585852530468e+03 3.363023675735970497e-01 3.315554244587805375e-03
3.502137224438384237e+03 3.343431892266919836e-01 3.088395596036336028e-03
3.505639361662823831e+03 3.321382080715810647e-01 2.918327960922580296e-03
3.509145001024487556e+03 3.288902007565780994e-01 2.962610328019840093e-03
3.512654146025513455e+03 3.263285075474623986e-01 2.896898919025791847e-03
3.516166800171540217e+03 3.244659001177911395e-01 2.855631399290591010e-03
3.519682966971712631e+03 3.219228749595081096e-01 2.977041815721928088e-03
3.523202649938685681e+03 3.206949248310177469e-01 3.055126540531948650e-03
3.526725852588625457e+03 3.187757057003587913e-01 3.192413850729131520e-03
3.530252578441215064e+03 3.171799475347788499e-01 3.411338269036163877e-03
3.533782831019657806e+03 3.157226814436890905e-01 3.779865858245325377e-03
3.537316613850678550e+03 3.142635459019700872e-01 3.698495655591178127e-03
3.540853930464530094e+03 3.153453222099578124e-01 3.469776617309263105e-03
3.544394784394995895e+03 3.178592507693919211e-01 3.281250339072691678e-03
3.547939179179392340e+03 3.222601567058711591e-01 3.273544467133749410e-03
3.551487118358572843e+03 3.275304302030800918e-01 3.240949713258877221e-03
3.555038605476932389e+03 3.331898896609424843e-01 3.021609656185485909e-03
3.558593644082410719e+03 3.414587134804843438e-01 3.405166306814705422e-03
3.562152237726494150e+03 3.497797286942965211e-01 3.461382747170217451e-03
3.565714389964221937e+03 3.611088477809298869e-01 3.378179139882051506e-03
3.569280104354187188e+03 3.721520388929963064e-01 3.160221427786231302e-03
3.572849384458542772e+03 3.835799004892898045e-01 2.838708667713978843e-03
3.576422233843002232e+03 3.949089009061808597e-01 2.437886015633687706e-03
3.579998656076846601e+03 4.042372715295305396e-01 2.425981754407251743e-03
3.583578654732924406e+03 4.142992179668429920e-01 2.387646322107040905e-03
3.587162233387658489e+03 4.222249966669463506e-01 2.385577355098852503e-03
3.590749395621047370e+03 4.272692264323588174e-01 2.453880979852296387e-03
3.594340145016669794e+03 4.326109063704123847e-01 2.263780842110396999e-03
3.597934485161687462e+03 4.362477676542468874e-01 2.202837194657005816e-03
3.601532419646850485e+03 4.381487079553125219e-01 2.276089252669840583e-03
3.605133952066498296e+03 4.392159617608145661e-01 2.427091613138977234e-03
3.608739086018566013e+03 4.374767222829620827e-01 2.356537653011959305e-03
3.612347825104585809e+03 4.342291298079111739e-01 2.319144030798076309e-03
3.615960172929691907e+03 4.301219334417148987e-01 2.391771809185197148e-03
3.619576133102622407e+03 4.239135901555157737e-01 2.675944024298328953e-03
3.623195709235726554e+03 4.167267949167650087e-01 3.088465537642139883e-03
3.626818904944963379e+03 4.092367782693179801e-01 3.379293725599159109e-03
3.630445723849909427e+03 4.028895111198386725e-01 3.856273032902579005e-03
3.634076169573760581e+03 3.974831301141595330e-01 4.313538998654669818e-03
3.637710245743335690e+03 3.926024443662847752e-01 4.647707859941208573e-03
3.641347955989080219e+03 3.915561166401393955e-01 4.589892875771546359e-03
3.644989303945070333e+03 3.909635891745112946e-01 4.241725797061572135e-03
3.648634293249016537e+03 3.936987838850823929e-01 3.584098039814036588e-03
3.652282927542266862e+03 3.992314507210341645e-01 3.544742853500987365e-03
3.655935210469810499e+03 4.098314733035245405e-01 4.435317157443858550e-03
