# starting wavelength: 3464.040
# ending wavelength: 7345.560
# wav flux eflux
3.467307701768178049e+03 3.108945141905186116e-01 1.014135959995739883e-02
3.470775009469947236e+03 3.171280648225314192e-01 8.070552292350690465e-03
3.474245784479418489e+03 3.232891701194093859e-01 6.177427709600315231e-03
3.477720030263898934e+03 3.285955830681030476e-01 4.865775822024970797e-03
3.481197750294164052e+03 3.320639063709236449e-01 3.953527652599049536e-03
3.484678948044459503e+03 3.349128653801043964e-01 3.219149268006628317e-03
3.488163626992504760e+03 3.368765171472766218e-01 2.631224114446609891e-03
3.491651790619498570e+03 3.379268008839060866e-01 2.243468025729424432e-03
3.495143442410119405e+03 3.380942320416694402e-01 1.948252739251403725e-03
3.498638585852530468e+03 3.373581511084022266e-01 1.726808138094163740e-03
3.502137224438384237e+03 3.356778724186804119e-01 1.560992557617612219e-03
3.505639361662823831e+03 3.326487783776730933e-01 1.527433459998950955e-03
3.509145001024487556e+03 3.288574060735043880e-01 1.503654953610117839e-03
3.512654146025513455e+03 3.247775148208031371e-01 1.438749141321686575e-03
3.516166800171540217e+03 3.201419951238384520e-01 1.420910706011705533e-03
3.519682966971712631e+03 3.152269257802477465e-01 1.433493376507145867e-03
3.523202649938685681e+03 3.099120539604848790e-01 1.603530637545902502e-03
3.526725852588625457e+03 3.056641715676872706e-01 1.645306661001729939e-03
3.530252578441215064e+03 3.006691471646135705e-01 1.874371033109227926e-03
3.533782831019657806e+03 2.965529572529517766e-01 1.887595468922526618e-03
3.537316613850678550e+03 2.927830267685648802e-01 1.890720034937403262e-03
3.540853930464530094e+03 2.900671208915860944e-01 1.699298177843786917e-03
3.544394784394995895e+03 2.879409001874993490e-01 1.497109169881116275e-03
3.547939179179392340e+03 2.874079131454344571e-01 1.538738916650993173e-03
3.551487118358572843e+03 2.880392139015640618e-01 1.702596121260644118e-03
3.555038605476932389e+03 2.895557091283955109e-01 1.813098201304277034e-03
3.558593644082410719e+03 2.921489069902852842e-01 1.828108522642095781e-03
3.562152237726494150e+03 2.956533134289973108e-01 1.748972883906496287e-03
3.565714389964221937e+03 2.997279935245403815e-01 1.612518991514181590e-03
3.569280104354187188e+03 3.044499861171244826e-01 1.551687389694662335e-03
3.572849384458542772e+03 3.094885095735570024e-01 1.497308050128640751e-03
3.576422233843002232e+03 3.146627277590696714e-01 1.515197876952754149e-03
3.579998656076846601e+03 3.210348408561349287e-01 1.536417654172178441e-03
3.583578654732924406e+03 3.274639498519897884e-01 1.647208164656363679e-03
3.587162233387658489e+03 3.342978207124000511e-01 1.567686018271725922e-03
3.590749395621047370e+03 3.406817958949983627e-01 1.532747349946970376e-03
3.594340145016669794e+03 3.459246399243875447e-01 1.532029085460565130e-03
3.597934485161687462e+03 3.506003969298965850e-01 1.511658834611617590e-03
3.601532419646850485e+03 3.548823698790457559e-01 1.507569078072213244e-03
3.605133952066498296e+03 3.586030297941765754e-01 1.506518859242326905e-03
3.608739086018566013e+03 3.617455576839646580e-01 1.555495434332760567e-03
3.612347825104585809e+03 3.643375136750025556e-01 1.566974492384748049e-03
3.615960172929691907e+03 3.662338441129746047e-01 1.651325137908319024e-03
3.619576133102622407e+03 3.676699511111816143e-01 1.804704145528988890e-03
3.623195709235726554e+03 3.684080686947016070e-01 1.959849798495788206e-03
3.626818904944963379e+03 3.700209675015312394e-01 1.955670078245614913e-03
3.630445723849909427e+03 3.719670474869425925e-01 1.976479436457176560e-03
3.634076169573760581e+03 3.735232265364042958e-01 2.009987561069827722e-03
3.637710245743335690e+03 3.747965539648838162e-01 2.073167709669983694e-03
3.641347955989080219e+03 3.756356646482158501e-01 2.180215967746702323e-03
3.644989303945070333e+03 3.764615930690112244e-01 2.476558735447121837e-03
3.648634293249016537e+03 3.760782934925654408e-01 2.560667434162198792e-03
3.652282927542266862e+03 3.755115545511973352e-01 2.573488428271159499e-03
3.655935210469810499e+03 3.750877743735819836e-01 2.477861330081052374e-03
3.659591145680281443e+03 3.747936266508898329e-01 2.568984592014457707e-03
3.663250736825963031e+03 3.736847076160835224e-01 2.957958705311796929e-03
