# starting wavelength: 3457.130
# ending wavelength: 7345.560
# wav flux eflux
3.460383474435829612e+03 3.057007630012530397e-01 7.682881485951670308e-03
3.463843857910266706e+03 2.978830176623147863e-01 5.667287839346438726e-03
3.467307701768178049e+03 2.940835225699069966e-01 4.984187874073143891e-03
3.470775009469947236e+03 2.931485056802128897e-01 4.853928043937431359e-03
3.474245784479418489e+03 2.931088112185476491e-01 4.231896948939728627e-03
3.477720030263898934e+03 2.933497757062143441e-01 3.636902681948735346e-03
3.481197750294164052e+03 2.930700281239078664e-01 2.898745788623096828e-03
3.484678948044459503e+03 2.931505844032661345e-01 2.403426380209292175e-03
3.488163626992504760e+03 2.939177194101651458e-01 1.964371741434838350e-03
3.491651790619498570e+03 2.950971645525123921e-01 1.668683384800583556e-03
3.495143442410119405e+03 2.968781412819611054e-01 1.527243801704409416e-03
3.498638585852530468e+03 2.989149192108173647e-01 1.360178314415264522e-03
3.502137224438384237e+03 3.012846971421138109e-01 1.251628427971925332e-03
3.505639361662823831e+03 3.035040308708352730e-01 1.153343265583449363e-03
3.509145001024487556e+03 3.054843759634329192e-01 1.116907497967289248e-03
3.512654146025513455e+03 3.074535602638006071e-01 1.096833031812463437e-03
3.516166800171540217e+03 3.096497512178486011e-01 1.055967583423012479e-03
3.519682966971712631e+03 3.117198926606604137e-01 1.054179346090977415e-03
3.523202649938685681e+03 3.139999266653448751e-01 1.031547535925836541e-03
3.526725852588625457e+03 3.163488658092108996e-01 1.045852262504778658e-03
3.530252578441215064e+03 3.189823051181021052e-01 1.074744050345146111e-03
3.533782831019657806e+03 3.214869545303494225e-01 1.090666754870829591e-03
3.537316613850678550e+03 3.240118851031689728e-01 1.123212635239705841e-03
3.540853930464530094e+03 3.262313778722955582e-01 1.113439754365068814e-03
3.544394784394995895e+03 3.280324681099507367e-01 1.221468600620453189e-03
3.547939179179392340e+03 3.301493967137753560e-01 1.234097730104616493e-03
3.551487118358572843e+03 3.321686342524931002e-01 1.298849272135196463e-03
3.555038605476932389e+03 3.340266318682068025e-01 1.324354684050075507e-03
3.558593644082410719e+03 3.364349875525960432e-01 1.319302882922822155e-03
3.562152237726494150e+03 3.386019897256179467e-01 1.322696048329933096e-03
3.565714389964221937e+03 3.408472154973271606e-01 1.243092169700166141e-03
3.569280104354187188e+03 3.429644867945010334e-01 1.207433788450524865e-03
3.572849384458542772e+03 3.454445832969099128e-01 1.213410791868653818e-03
3.576422233843002232e+03 3.483631477424062872e-01 1.329694844075367081e-03
3.579998656076846601e+03 3.510527461427950247e-01 1.321754425141997633e-03
3.583578654732924406e+03 3.543291629342560367e-01 1.240432735864636015e-03
3.587162233387658489e+03 3.573044973522167544e-01 1.273774760861256681e-03
