# starting wavelength: 3505.840
# ending wavelength: 7382.370
# wav flux eflux
3.509145001024487556e+03 1.214026017469840735e+00 1.766699128151390588e-02
3.512654146025513455e+03 1.209706964292797560e+00 1.304169840371692708e-02
3.516166800171540217e+03 1.206570346288397433e+00 9.699270748239936443e-03
3.519682966971712631e+03 1.205025235393044403e+00 7.562408350007487901e-03
3.523202649938685681e+03 1.203925521940812926e+00 6.227225126641412062e-03
3.526725852588625457e+03 1.202216064415971841e+00 5.111884641614049783e-03
3.530252578441215064e+03 1.199772883816428992e+00 4.182360344516371578e-03
3.533782831019657806e+03 1.196794268366893732e+00 3.454652628086500674e-03
3.537316613850678550e+03 1.193494134546395857e+00 2.868522684892452299e-03
3.540853930464530094e+03 1.189786253487749246e+00 2.478558366014953218e-03
3.544394784394995895e+03 1.185402642270622309e+00 2.235110777346962629e-03
3.547939179179392340e+03 1.180529097048587550e+00 2.066268733716215833e-03
3.551487118358572843e+03 1.175170075863976926e+00 1.982486591249695788e-03
3.555038605476932389e+03 1.169676154104855925e+00 1.913506255408261095e-03
3.558593644082410719e+03 1.164149211125477867e+00 1.872450469669540134e-03
3.562152237726494150e+03 1.158655742979040504e+00 1.875959227986691335e-03
3.565714389964221937e+03 1.153418703294070369e+00 1.907101002079866900e-03
3.569280104354187188e+03 1.148636109430806629e+00 1.952332232525377407e-03
3.572849384458542772e+03 1.144552272803894377e+00 1.934820788827446795e-03
3.576422233843002232e+03 1.141161123040234093e+00 1.940729843048006166e-03
3.579998656076846601e+03 1.138071676192117909e+00 1.807213571258129781e-03
3.583578654732924406e+03 1.135800549840186857e+00 1.746497153648726621e-03
3.587162233387658489e+03 1.134347737665460931e+00 1.875831359598585397e-03
3.590749395621047370e+03 1.132339261844020895e+00 1.782423573122721800e-03
3.594340145016669794e+03 1.132947186237832415e+00 2.216299168278850623e-03
3.597934485161687462e+03 1.133976989978624061e+00 2.518171588085612363e-03
3.601532419646850485e+03 1.135309081082597871e+00 2.605199184212178814e-03
3.605133952066498296e+03 1.137036124730102404e+00 2.621576164036677498e-03
3.608739086018566013e+03 1.137738542667840802e+00 2.415143400735326237e-03
3.612347825104585809e+03 1.137302297513230087e+00 2.219556752104286101e-03
3.615960172929691907e+03 1.135434865385057890e+00 2.232619015549455310e-03
3.619576133102622407e+03 1.132669146850515673e+00 2.161436548296110857e-03
3.623195709235726554e+03 1.128929536679419199e+00 2.186936380283271454e-03
3.626818904944963379e+03 1.123828219500966563e+00 2.543511295564895077e-03
3.630445723849909427e+03 1.117896474047405109e+00 3.075836718190955252e-03
3.634076169573760581e+03 1.111597404290808333e+00 3.381579371362953852e-03
3.637710245743335690e+03 1.105377859849210109e+00 3.482577830929060522e-03
3.641347955989080219e+03 1.099331626705602138e+00 3.382299254483626082e-03
3.644989303945070333e+03 1.093259523509100717e+00 3.091560513217554099e-03
3.648634293249016537e+03 1.087492303296649920e+00 2.729199061393702483e-03
3.652282927542266862e+03 1.082664794665463504e+00 2.409295765674443219e-03
3.655935210469810499e+03 1.079580152200936283e+00 2.226064006157654502e-03
3.659591145680281443e+03 1.078197433219784784e+00 2.110380302419398793e-03
3.663250736825963031e+03 1.079138242162145822e+00 2.411426085580880858e-03
3.666913987562790226e+03 1.082103341787136186e+00 3.185539342156356452e-03
3.670580901550354156e+03 1.087289548341595857e+00 3.770953029665480207e-03
3.674251482451905758e+03 1.092286783501190239e+00 3.706015060803263903e-03
3.677925733934358959e+03 1.096937031390953665e+00 3.391220424188846720e-03
3.681603659668294313e+03 1.101363902315725340e+00 3.157635474928199414e-03
3.685285263327964003e+03 1.105864836372371762e+00 3.026694594541357031e-03
