# starting wavelength: 3484.880
# ending wavelength: 7382.370
# wav flux eflux
3.488163626992504760e+03 4.766583730417583431e-01 3.370263299265061074e-02
3.491651790619498570e+03 5.254377705194970272e-01 2.625915747594061503e-02
3.495143442410119405e+03 5.813569107641274325e-01 3.420499580088708774e-02
3.498638585852530468e+03 6.287026497769353517e-01 2.682723895164904060e-02
3.502137224438384237e+03 6.681157650106792634e-01 2.171749937987751955e-02
3.505639361662823831e+03 6.972487528623615427e-01 1.717850775230314597e-02
3.509145001024487556e+03 7.192883842556914153e-01 1.386434574257621941e-02
3.512654146025513455e+03 7.350432951223410116e-01 1.127121498567609445e-02
3.516166800171540217e+03 7.481772820565710802e-01 9.216452119307150942e-03
3.519682966971712631e+03 7.604268954610752251e-01 8.294177445503097754e-03
3.523202649938685681e+03 7.743457848946706523e-01 8.116695507648848465e-03
3.526725852588625457e+03 7.894603282773121622e-01 7.555718126633346500e-03
3.530252578441215064e+03 8.057239237430068313e-01 7.061050262848875617e-03
3.533782831019657806e+03 8.232264585971357240e-01 6.698960218371504370e-03
3.537316613850678550e+03 8.422835675702712299e-01 6.542434531845347893e-03
3.540853930464530094e+03 8.615008546378036813e-01 6.301371174819653601e-03
3.544394784394995895e+03 8.819026928001413301e-01 6.237925670355820400e-03
3.547939179179392340e+03 9.032677034402432081e-01 6.395381241884237795e-03
3.551487118358572843e+03 9.252030149276558868e-01 6.790011419661770922e-03
3.555038605476932389e+03 9.440083032503897575e-01 6.890485679497860769e-03
3.558593644082410719e+03 9.659577224803173046e-01 7.057982892814649439e-03
3.562152237726494150e+03 9.852687879118419145e-01 6.522514139781097377e-03
3.565714389964221937e+03 1.004633604942661629e+00 5.908129439516573989e-03
3.569280104354187188e+03 1.022055815721865990e+00 5.214023444077851670e-03
3.572849384458542772e+03 1.035966265146140319e+00 4.893278595500990570e-03
3.576422233843002232e+03 1.045379600518867136e+00 5.236792169340710387e-03
3.579998656076846601e+03 1.053325750778734360e+00 5.295436184296204753e-03
3.583578654732924406e+03 1.057546995917175714e+00 5.608377352702777902e-03
3.587162233387658489e+03 1.059523988861373889e+00 5.790491308051926023e-03
3.590749395621047370e+03 1.058744265201661650e+00 5.532271180480819589e-03
3.594340145016669794e+03 1.055641529016838165e+00 5.253774644053989078e-03
3.597934485161687462e+03 1.051121476383343190e+00 5.019040545775591174e-03
3.601532419646850485e+03 1.043701943615755745e+00 4.700706181853022900e-03
3.605133952066498296e+03 1.035021239355463196e+00 4.882112971992660054e-03
3.608739086018566013e+03 1.024600362388479624e+00 4.910933858972136613e-03
3.612347825104585809e+03 1.014591170579405288e+00 4.398856822369599101e-03
3.615960172929691907e+03 1.000664612635272954e+00 4.267494621539067758e-03
3.619576133102622407e+03 9.835217349225514605e-01 4.258602186383641380e-03
3.623195709235726554e+03 9.662460367923259019e-01 4.102902290743622171e-03
3.626818904944963379e+03 9.472106767343682066e-01 4.089813727191752429e-03
3.630445723849909427e+03 9.271209038281831294e-01 4.102948073671901404e-03
3.634076169573760581e+03 9.048822036970953775e-01 4.224973206874255496e-03
3.637710245743335690e+03 8.819783655936640487e-01 4.225363848711298498e-03
3.641347955989080219e+03 8.584794044156072168e-01 4.378522027517226488e-03
3.644989303945070333e+03 8.326466864232463516e-01 6.028060206959610923e-03
3.648634293249016537e+03 8.063708926316243142e-01 6.299295815159745154e-03
3.652282927542266862e+03 7.860407204456431041e-01 6.226935762288237156e-03
3.655935210469810499e+03 7.663742976837865095e-01 6.133591278937371334e-03
3.659591145680281443e+03 7.470333664061815648e-01 5.848169684924000612e-03
3.663250736825963031e+03 7.296351445983524364e-01 5.764934384691837617e-03
3.666913987562790226e+03 7.140577722856933374e-01 5.913817366075232659e-03
