# starting wavelength: 3526.930
# ending wavelength: 7214.580
# wav flux eflux
3.530252578441215064e+03 5.666347849795099201e-01 5.860491318235568070e-02
3.533782831019657806e+03 5.128301452820323014e-01 4.394240138338480206e-02
3.537316613850678550e+03 4.666509806952371386e-01 3.296275810131595735e-02
3.540853930464530094e+03 4.305003019516948082e-01 2.641920490965995322e-02
3.544394784394995895e+03 3.973749979934855792e-01 2.072831207933044720e-02
3.547939179179392340e+03 3.687514812016249310e-01 1.728522950825971474e-02
3.551487118358572843e+03 3.418636086590939316e-01 1.419448002772480226e-02
3.555038605476932389e+03 3.184372992687098947e-01 1.181578907241307742e-02
3.558593644082410719e+03 2.974898338204823300e-01 9.879809605151567559e-03
3.562152237726494150e+03 2.782102408211150624e-01 8.613874860926417493e-03
3.565714389964221937e+03 2.603459896160701392e-01 7.684293520543041857e-03
3.569280104354187188e+03 2.433210940986949566e-01 7.046738636950034690e-03
3.572849384458542772e+03 2.263334718476262275e-01 6.807532062230685702e-03
3.576422233843002232e+03 2.108966935188340552e-01 6.601688766740355756e-03
3.579998656076846601e+03 1.974876839098111958e-01 6.394614630279103068e-03
3.583578654732924406e+03 1.849371358800586118e-01 6.515214807219850066e-03
3.587162233387658489e+03 1.751714535667680261e-01 6.540623130914230594e-03
3.590749395621047370e+03 1.682081235158339461e-01 6.570537158527337517e-03
3.594340145016669794e+03 1.631043456359191346e-01 6.214309670523621328e-03
3.597934485161687462e+03 1.599755426847139783e-01 6.077039161041269955e-03
3.601532419646850485e+03 1.590461329083570630e-01 6.067880086827444862e-03
3.605133952066498296e+03 1.633108619031012898e-01 6.318724231730439046e-03
3.608739086018566013e+03 1.714402422138913973e-01 6.245384452746275891e-03
3.612347825104585809e+03 1.792981390503970429e-01 4.850024497175915543e-03
3.615960172929691907e+03 1.959014720394096354e-01 4.815667948530136418e-03
3.619576133102622407e+03 2.166658426623968015e-01 4.801032438148493398e-03
3.623195709235726554e+03 2.423186997832416645e-01 4.868112064033018431e-03
3.626818904944963379e+03 2.702420310618012800e-01 5.180867253663798758e-03
3.630445723849909427e+03 2.995285546837060942e-01 5.348810091423120659e-03
3.634076169573760581e+03 3.355949369180069031e-01 6.136633976349949518e-03
3.637710245743335690e+03 3.728262734340982987e-01 7.036084179796508152e-03
3.641347955989080219e+03 4.083512394359545827e-01 8.245913985697619561e-03
3.644989303945070333e+03 4.428044642837941081e-01 9.423201820882579766e-03
3.648634293249016537e+03 4.808059230019940955e-01 8.059777411757276452e-03
3.652282927542266862e+03 5.108556020995959068e-01 7.183307344641123686e-03
3.655935210469810499e+03 5.334572172025413561e-01 6.417745400135354411e-03
3.659591145680281443e+03 5.481384407964212668e-01 6.592578028147625703e-03
3.663250736825963031e+03 5.579909339163126036e-01 7.032405233589786656e-03
3.666913987562790226e+03 5.600912124604849884e-01 8.059799971837526555e-03
3.670580901550354156e+03 5.617641501055082864e-01 8.337125490072270009e-03
3.674251482451905758e+03 5.541088771881077513e-01 8.902683588028984657e-03
3.677925733934358959e+03 5.454575865677101509e-01 9.298602534653374954e-03
3.681603659668294313e+03 5.310252995174874480e-01 8.801884678775042520e-03
3.685285263327964003e+03 5.153265328099039255e-01 8.454589406255687278e-03
3.688970548591293209e+03 4.965090373655608458e-01 8.277759056270773616e-03
3.692659519139885560e+03 4.786419454733202294e-01 7.384779560623637093e-03
3.696352178659026777e+03 4.646276676983029374e-01 6.587567461530227132e-03
3.700048530837686940e+03 4.534969297167779079e-01 6.029651757183817837e-03
3.703748579368525952e+03 4.478285771608496169e-01 5.943022685460644036e-03
3.707452327947895355e+03 4.452477260384629654e-01 6.160506494689966563e-03
3.711159780275844696e+03 4.489631498067591653e-01 6.358239865548245828e-03
3.714870940056121526e+03 4.576266488463385240e-01 6.639441434210084821e-03
3.718585810996179134e+03 4.726947802826334533e-01 6.959189719162948984e-03
3.722304396807176545e+03 4.887509782450449869e-01 6.354694203922391267e-03
3.726026701203984885e+03 5.055255817411663521e-01 6.005230881879717111e-03
3.729752727905190113e+03 5.197812964301370409e-01 5.768621989075952902e-03
3.733482480633096657e+03 5.336269743249930642e-01 5.781578833000501801e-03
3.737215963113731050e+03 5.478500495996344588e-01 5.791248450062057643e-03
3.740953179076846027e+03 5.603129308263631314e-01 5.738584821140949206e-03
3.744694132255923705e+03 5.715768807206669244e-01 5.977654705303335481e-03
3.748438826388181042e+03 5.802813476647817881e-01 6.465752963094861631e-03
3.752187265214570289e+03 5.913042788833923202e-01 6.461389351499172325e-03
3.755939452479786269e+03 6.034117838286461311e-01 6.591815038818189983e-03
3.759695391932267285e+03 6.124848062262794324e-01 6.711723613104621927e-03
3.763455087324201031e+03 6.178757780889452267e-01 7.329112700902563025e-03
3.767218542411526414e+03 6.218582230250706555e-01 7.160794831827640462e-03
3.770985760953939007e+03 6.272177685595252683e-01 8.330079001767909386e-03
3.774756746714894234e+03 6.404820623419715808e-01 7.344798643860078573e-03
3.778531503461610555e+03 6.602983792027347087e-01 6.869192677437716693e-03
3.782310034965073100e+03 6.861568389770338339e-01 7.160979091357336235e-03
3.786092345000039586e+03 7.209275336345154495e-01 7.658003422427389108e-03
3.789878437345040766e+03 7.572586811434397491e-01 8.277877169167427787e-03
3.793668315782387253e+03 7.958447093474706469e-01 8.966910539220836196e-03
3.797461984098170888e+03 8.384904852831192024e-01 9.562168729624734992e-03
3.801259446082270188e+03 8.795535975409414231e-01 9.818510896914156572e-03
3.805060705528353537e+03 9.194449655062185700e-01 9.171361496241084085e-03
3.808865766233883278e+03 9.540462451392970333e-01 8.858964772973310781e-03
3.812674632000118436e+03 9.872945223579588925e-01 8.548167032037203364e-03
3.816487306632119726e+03 1.010932319561675508e+00 7.661232482143302304e-03
3.820303793938753188e+03 1.028699017026615481e+00 7.681341966597737998e-03
3.824124097732693372e+03 1.036045306840196023e+00 8.419157548082043321e-03
3.827948221830427428e+03 1.033249775211440458e+00 8.925094202114495015e-03
3.831776170052258749e+03 1.027484177579637725e+00 8.621009716712341175e-03
3.835607946222312421e+03 1.016292254585353216e+00 7.267603975287841023e-03
3.839443554168536139e+03 1.002188507305058929e+00 5.415810244668238863e-03
3.843282997722705659e+03 9.944586247674089829e-01 5.648674259637777653e-03
3.847126280720429804e+03 9.924872227236342104e-01 5.654607079915323353e-03
3.850973407001151372e+03 9.954708298322395565e-01 5.618581858232279611e-03
3.854824380408153957e+03 1.003098728589874922e+00 5.859259774647827997e-03
3.858679204788563311e+03 1.016869685997043415e+00 6.254440065851932413e-03
3.862537883993353262e+03 1.032313744953656576e+00 5.883600001077015328e-03
3.866400421877347981e+03 1.057895968363592454e+00 6.314257285177686356e-03
3.870266822299226533e+03 1.085659994444728493e+00 5.553755302679538181e-03
3.874137089121526969e+03 1.113846111358032465e+00 5.096451139473647148e-03
3.878011226210649966e+03 1.140934162840198107e+00 5.054554696263433358e-03
3.881889237436861549e+03 1.163895487775544080e+00 4.383261994651088331e-03
3.885771126674299921e+03 1.181409666922847768e+00 4.486515875168468025e-03
3.889656897800975457e+03 1.194805654717610688e+00 4.403784331803225517e-03
3.893546554698777527e+03 1.203291598612141078e+00 4.633528775144005879e-03
3.897440101253477678e+03 1.208795594412236163e+00 4.632737923876852244e-03
3.901337541354732366e+03 1.207058928481738791e+00 3.927082981372705464e-03
3.905238878896088409e+03 1.203265052176850869e+00 3.382915352215591122e-03
3.909144117774985716e+03 1.199903534166985031e+00 3.697359846652170570e-03
3.913053261892762293e+03 1.199593339673769909e+00 3.884149420769696798e-03
3.916966315154656058e+03 1.201328413307460874e+00 3.798026680712415608e-03
3.920883281469812118e+03 1.203771455168755944e+00 3.549078333754826942e-03
3.924804164751283224e+03 1.208641404510706563e+00 4.432324411514043834e-03
3.928728968916035683e+03 1.215019681196979784e+00 5.998379648113542732e-03
3.932657697884953450e+03 1.218878801489016173e+00 6.191524895551954108e-03
3.936590355582839493e+03 1.218967685210858187e+00 4.726232404113459191e-03
3.940526945938423523e+03 1.211908174280078576e+00 5.377747536813608752e-03
3.944467472884363360e+03 1.202464922171251560e+00 5.635403584487224879e-03
3.948411940357249023e+03 1.188020155542298228e+00 5.999047812478122514e-03
