# starting wavelength: 3405.680
# ending wavelength: 7214.580
# wav flux eflux
3.408890625824114522e+03 1.228094094260610281e-01 4.670033257986350855e-02
3.412299516449939802e+03 1.048583962910314554e-01 3.422192158328818401e-02
3.415711815966390986e+03 8.884393119477920764e-02 2.571291827682085224e-02
3.419127527782358356e+03 7.678034007341172362e-02 2.057683406262821035e-02
3.422546655310141887e+03 6.027046600808057264e-02 1.739688907017260949e-02
3.425969201965453522e+03 5.089649817052778469e-02 1.387635368049299801e-02
3.429395171167419903e+03 4.487390774868071919e-02 1.131435927040809822e-02
3.432824566338588284e+03 4.310655614395850210e-02 9.253509897020135294e-03
3.436257390904928343e+03 4.541703461250168328e-02 7.852133449300449999e-03
3.439693648295834464e+03 5.289527221346954078e-02 7.068744682689921156e-03
3.443133341944131189e+03 6.579507147437094194e-02 6.720103608752680049e-03
3.446576475286076402e+03 8.430700111362142424e-02 6.949894681661279369e-03
3.450023051761363604e+03 1.067886623113409178e-01 7.148077486009922488e-03
3.453473074813126004e+03 1.311804685711250029e-01 7.079995564130572502e-03
3.456926547887940615e+03 1.542344060568699715e-01 6.694848381544497157e-03
3.460383474435829612e+03 1.773777684331593885e-01 6.428792829670924858e-03
3.463843857910266706e+03 2.009392988296191118e-01 6.231604307025872570e-03
3.467307701768178049e+03 2.261788999191260419e-01 5.879499196193723430e-03
3.470775009469947236e+03 2.518493720251697154e-01 5.729488101423647721e-03
3.474245784479418489e+03 2.762884663822176012e-01 5.596637132181689865e-03
3.477720030263898934e+03 2.995051257299251035e-01 5.586128518518588409e-03
3.481197750294164052e+03 3.226536697989399460e-01 6.354442764880832359e-03
3.484678948044459503e+03 3.418260721949079040e-01 6.783309804457850548e-03
3.488163626992504760e+03 3.571466940191739825e-01 7.355964652490493486e-03
3.491651790619498570e+03 3.678102189423309021e-01 7.909429256156744192e-03
3.495143442410119405e+03 3.753698921414490020e-01 7.898781710521081759e-03
3.498638585852530468e+03 3.761888187065339784e-01 7.132510944698021958e-03
3.502137224438384237e+03 3.677551243198746711e-01 7.151061059817283294e-03
3.505639361662823831e+03 3.519755250038609784e-01 7.887610444880894037e-03
3.509145001024487556e+03 3.310679657074371285e-01 8.436532133106085241e-03
3.512654146025513455e+03 3.084045811106078117e-01 8.673626534966900892e-03
3.516166800171540217e+03 2.795067790111938622e-01 9.005529080502750264e-03
3.519682966971712631e+03 2.468669793241558830e-01 9.554186379008492228e-03
3.523202649938685681e+03 2.116448630215405635e-01 1.012020805989428431e-02
3.526725852588625457e+03 1.746894284081722259e-01 1.131635559700897367e-02
3.530252578441215064e+03 1.375161285464232830e-01 1.165437588703409529e-02
3.533782831019657806e+03 1.028344266515224814e-01 1.160534013060897374e-02
3.537316613850678550e+03 7.059308924937353347e-02 1.097765584204732706e-02
3.540853930464530094e+03 4.342310398565796259e-02 9.795211890711528688e-03
