# starting wavelength: 3464.040
# ending wavelength: 7250.730
# wav flux eflux
3.467307701768178049e+03 1.187377872732381379e+00 4.535876948387339291e-02
3.470775009469947236e+03 1.212369045489327890e+00 3.419255841751105141e-02
3.474245784479418489e+03 1.222979001327708426e+00 2.766906650134628998e-02
3.477720030263898934e+03 1.226362612746759728e+00 2.198952988649133244e-02
3.481197750294164052e+03 1.223941427109860536e+00 1.992933783525786123e-02
3.484678948044459503e+03 1.221370847355187195e+00 1.702458079313531186e-02
3.488163626992504760e+03 1.219054300671034374e+00 1.514268578079306163e-02
3.491651790619498570e+03 1.216757613806566329e+00 1.279827164600990524e-02
3.495143442410119405e+03 1.213797183003283209e+00 1.070058638524823066e-02
3.498638585852530468e+03 1.210725143547202620e+00 9.314278522495299251e-03
3.502137224438384237e+03 1.208845889287940567e+00 8.312326998028677152e-03
3.505639361662823831e+03 1.207842748957568269e+00 7.556052240696626426e-03
3.509145001024487556e+03 1.207499429088072507e+00 6.972467665798323146e-03
3.512654146025513455e+03 1.210768904386411604e+00 6.784063562504947902e-03
3.516166800171540217e+03 1.216231564090590522e+00 6.885750408008666293e-03
3.519682966971712631e+03 1.222420149821410673e+00 6.900902403102640234e-03
3.523202649938685681e+03 1.228004753182595943e+00 6.672712921622989644e-03
3.526725852588625457e+03 1.233403218639675059e+00 6.475799580727946599e-03
3.530252578441215064e+03 1.240463778031662967e+00 6.544241618006735317e-03
3.533782831019657806e+03 1.251535486355852544e+00 6.492259541068171394e-03
3.537316613850678550e+03 1.262388361535569103e+00 6.654594136786155974e-03
3.540853930464530094e+03 1.274396242470588581e+00 6.956780153480751627e-03
3.544394784394995895e+03 1.287591692198898796e+00 6.971992218430622321e-03
3.547939179179392340e+03 1.303566466158996962e+00 6.982340550582783432e-03
3.551487118358572843e+03 1.319861777065768571e+00 7.668982520901896673e-03
3.555038605476932389e+03 1.337985760639990973e+00 8.619282060731328632e-03
3.558593644082410719e+03 1.355297822596898571e+00 8.887229380632768322e-03
3.562152237726494150e+03 1.371974642341582395e+00 8.821884757915279471e-03
3.565714389964221937e+03 1.388716721640635088e+00 8.673763988238235301e-03
3.569280104354187188e+03 1.403882120914907938e+00 8.394031488364999197e-03
3.572849384458542772e+03 1.420021456098787382e+00 8.392051995976897508e-03
3.576422233843002232e+03 1.434604062331396701e+00 8.230110558508434496e-03
3.579998656076846601e+03 1.447304162996561949e+00 8.184338155902318168e-03
3.583578654732924406e+03 1.457944222057944161e+00 8.178250325189885192e-03
3.587162233387658489e+03 1.465791270455089723e+00 8.547763740799432103e-03
3.590749395621047370e+03 1.470777160601548950e+00 8.733733564396793658e-03
3.594340145016669794e+03 1.476197918294724687e+00 8.637363165606643314e-03
3.597934485161687462e+03 1.480449269178302218e+00 8.590100711064743363e-03
3.601532419646850485e+03 1.483326688732300003e+00 8.532207282449336475e-03
3.605133952066498296e+03 1.485997948834504978e+00 8.579120128497267489e-03
3.608739086018566013e+03 1.488040902171855695e+00 8.852394607931114712e-03
3.612347825104585809e+03 1.489536135979458775e+00 8.849973020858053693e-03
3.615960172929691907e+03 1.486620150227682124e+00 8.109355562618754051e-03
3.619576133102622407e+03 1.485954042927543739e+00 8.411930599499387387e-03
3.623195709235726554e+03 1.483587468165854073e+00 8.942620132536351768e-03
3.626818904944963379e+03 1.479662059104466687e+00 8.899013216635056137e-03
3.630445723849909427e+03 1.476527095158513658e+00 8.115671687333118889e-03
3.634076169573760581e+03 1.472651231466983734e+00 7.109366888027010209e-03
3.637710245743335690e+03 1.466561237565390252e+00 6.426396168636534442e-03
3.641347955989080219e+03 1.456767545380269979e+00 6.319665158279338772e-03
3.644989303945070333e+03 1.445451395254699900e+00 6.752895029092513199e-03
3.648634293249016537e+03 1.426770305418988416e+00 6.857512517869665189e-03
3.652282927542266862e+03 1.406461980535756773e+00 7.512328835116856285e-03
3.655935210469810499e+03 1.380373857013448502e+00 7.545259718641852097e-03
3.659591145680281443e+03 1.349840481185865748e+00 7.637100700418180017e-03
3.663250736825963031e+03 1.321580091809539503e+00 7.102321597615697361e-03
3.666913987562790226e+03 1.288939641678448655e+00 7.051241829412227026e-03
3.670580901550354156e+03 1.251704948649502658e+00 7.333951392439742173e-03
3.674251482451905758e+03 1.211925592444700106e+00 7.892940997131425371e-03
3.677925733934358959e+03 1.172297600758789526e+00 8.204868550921682116e-03
3.681603659668294313e+03 1.131415192329334296e+00 8.270645939263156915e-03
3.685285263327964003e+03 1.096244036478374095e+00 8.373164173141182595e-03
3.688970548591293209e+03 1.064795386952838374e+00 8.526562467688465763e-03
3.692659519139885560e+03 1.036183549448733032e+00 8.280092295905247535e-03
3.696352178659026777e+03 1.009533416199051237e+00 7.562126797652537515e-03
3.700048530837686940e+03 9.897870137471449503e-01 7.647779639203245404e-03
3.703748579368525952e+03 9.777049107535715766e-01 8.351671722328340985e-03
3.707452327947895355e+03 9.707091167066232984e-01 9.328961007488000001e-03
3.711159780275844696e+03 9.674762463060340156e-01 9.911480101206704765e-03
3.714870940056121526e+03 9.672003349328327504e-01 9.019898673180697102e-03
