# starting wavelength: 3491.860
# ending wavelength: 9963.790
# wav flux eflux
3.495143442410119405e+03 1.532551030855400009e+00 7.616065161724922504e-03
3.498638585852530468e+03 1.515374686632030121e+00 6.524594945815264529e-03
3.502137224438384237e+03 1.499241726601474811e+00 5.336195752537108324e-03
3.505639361662823831e+03 1.485398250808729781e+00 4.107437638763392247e-03
3.509145001024487556e+03 1.473476542181157534e+00 3.223355340747917526e-03
3.512654146025513455e+03 1.462585487289888908e+00 2.572109681139480263e-03
3.516166800171540217e+03 1.452728991701349504e+00 2.124942477687200015e-03
3.519682966971712631e+03 1.443943348038265073e+00 1.781033650140541888e-03
3.523202649938685681e+03 1.435915549297406280e+00 1.522093776682942540e-03
3.526725852588625457e+03 1.428252818495561405e+00 1.344718268579416691e-03
3.530252578441215064e+03 1.420782826616052041e+00 1.233715046206525614e-03
3.533782831019657806e+03 1.413404047442065492e+00 1.177019288897494321e-03
3.537316613850678550e+03 1.405863503444831686e+00 1.258733439906836379e-03
3.540853930464530094e+03 1.399101705224373937e+00 1.183589035927196630e-03
3.544394784394995895e+03 1.391669592610434325e+00 1.348689837105908817e-03
3.547939179179392340e+03 1.384614676268969058e+00 1.448073671553167701e-03
3.551487118358572843e+03 1.378091773864916991e+00 1.503797666300875878e-03
3.555038605476932389e+03 1.372186406286620697e+00 1.533894005685360442e-03
3.558593644082410719e+03 1.366927824473931796e+00 1.553857025869205934e-03
3.562152237726494150e+03 1.362216902988160339e+00 1.528964071565593790e-03
3.565714389964221937e+03 1.358035367521497561e+00 1.473705734232508410e-03
3.569280104354187188e+03 1.354037876336364077e+00 1.325861123368633461e-03
3.572849384458542772e+03 1.350996448694847585e+00 1.271746061280111225e-03
3.576422233843002232e+03 1.348443606793815697e+00 1.260767260542979646e-03
3.579998656076846601e+03 1.346441589409480555e+00 1.323074461737963657e-03
3.583578654732924406e+03 1.344963766479994272e+00 1.430405941783602537e-03
3.587162233387658489e+03 1.344039697194371108e+00 1.533782119567732262e-03
3.590749395621047370e+03 1.343454233564994604e+00 1.512155824339141271e-03
3.594340145016669794e+03 1.342959305691651561e+00 1.395354829744591303e-03
3.597934485161687462e+03 1.342499001171448825e+00 1.237491941164707218e-03
3.601532419646850485e+03 1.341841181834865004e+00 1.085470475542483484e-03
3.605133952066498296e+03 1.341209564648501162e+00 1.033516162301217987e-03
3.608739086018566013e+03 1.340052739463855280e+00 1.034326181948326756e-03
3.612347825104585809e+03 1.338648935377465765e+00 1.034735167318841026e-03
3.615960172929691907e+03 1.336985162680064176e+00 1.026238269880929950e-03
3.619576133102622407e+03 1.334841516511126924e+00 1.024260410267884480e-03
3.623195709235726554e+03 1.332108186311959930e+00 1.020557710381245859e-03
3.626818904944963379e+03 1.328877719065014285e+00 1.028366828486786079e-03
3.630445723849909427e+03 1.325122694083845865e+00 1.049658748084348996e-03
3.634076169573760581e+03 1.320159303221038360e+00 1.009160185019545523e-03
3.637710245743335690e+03 1.314777892382696933e+00 9.850955304535164662e-04
3.641347955989080219e+03 1.308946336439852809e+00 9.985144196281378354e-04
3.644989303945070333e+03 1.302551155492146506e+00 9.816006641502224555e-04
3.648634293249016537e+03 1.295466518390088639e+00 9.799898760755431770e-04
3.652282927542266862e+03 1.287682540032407452e+00 1.055774175106836358e-03
