# starting wavelength: 3204.230
# ending wavelength: 9043.100
# wav flux eflux
3.207261277443593826e+03 3.408790387011075701e-02 5.696138637538555698e-03
3.210468538721038840e+03 3.426564755817326779e-02 4.219001690618931835e-03
3.213679007259760965e+03 3.348850966039819410e-02 4.221804000305451852e-03
3.216892686267021418e+03 3.326892556437757026e-02 3.370319885396950293e-03
3.220109578953289656e+03 3.424276579175157542e-02 2.588029026475610703e-03
3.223329688532243836e+03 3.601302562154659603e-02 2.087033768693844545e-03
3.226553018220777176e+03 3.808567132339638756e-02 1.701200317259124722e-03
3.229779571238999324e+03 4.030529234698322638e-02 1.402910929674984616e-03
3.233009350810239084e+03 4.298094610691960415e-02 1.168556507298582764e-03
3.236242360161050783e+03 4.593805935155675924e-02 1.004445677001884318e-03
3.239478602521212906e+03 4.898459612562142129e-02 9.178707729013494679e-04
3.242718081123734919e+03 5.216861758094531315e-02 8.271139590332982853e-04
3.245960799204859995e+03 5.560052641824716341e-02 7.448415995342248840e-04
3.249206760004065927e+03 5.918860785478497616e-02 6.876653236068625084e-04
3.252455966764071036e+03 6.279992406594733789e-02 6.482924538075508563e-04
3.255708422730835991e+03 6.662914483846350822e-02 6.141450574651787430e-04
3.258964131153567905e+03 7.076440974652385696e-02 6.321262243277851875e-04
3.262223095284722604e+03 7.480023928919410370e-02 6.319783866932450781e-04
3.265485318380008266e+03 7.881617786173406026e-02 6.544669723248406831e-04
3.268750803698389518e+03 8.268582519601264114e-02 6.739548961388848241e-04
3.272019554502088795e+03 8.626007243447675332e-02 6.632865816435185241e-04
3.275291574056592253e+03 8.964894661044819912e-02 6.573045039530657409e-04
3.278566865630649772e+03 9.294009117842716439e-02 6.775292061725212865e-04
3.281845432496281319e+03 9.585697832960263232e-02 6.810682930750356539e-04
3.285127277928778767e+03 9.836478882046754968e-02 6.767120721169760144e-04
3.288412405206708627e+03 1.004833509129422209e-01 6.739266419566197373e-04
3.291700817611916591e+03 1.021711808344442501e-01 6.747154936764661283e-04
3.294992518429529355e+03 1.035213394017052702e-01 6.770250694152576574e-04
3.298287510947960072e+03 1.046820693280316600e-01 6.706058706019478542e-04
3.301585798458909267e+03 1.056654589696738727e-01 6.351682872328549877e-04
3.304887384257369376e+03 1.061939194140775200e-01 7.060913019153860831e-04
3.308192271641627485e+03 1.063826123708455917e-01 8.182083879430351826e-04
3.311500463913270323e+03 1.066763309068042564e-01 8.235772199863765873e-04
3.314811964377184722e+03 1.064767455321335987e-01 8.661121531488469479e-04
3.318126776341563072e+03 1.063635205109201426e-01 8.534011029694765294e-04
3.321444903117905596e+03 1.063308155417642537e-01 7.986998055620646905e-04
3.324766348021024896e+03 1.064377063194187345e-01 6.774410035410915543e-04
3.328091114369046863e+03 1.069896871553308593e-01 5.896167627781600260e-04
3.331419205483417045e+03 1.079990414137492333e-01 5.082541035033083304e-04
3.334750624688901553e+03 1.095653138417916062e-01 4.897217501634310846e-04
3.338085375313591612e+03 1.116048111437652895e-01 4.291101633651912372e-04
3.341423460688906289e+03 1.143040132429449796e-01 3.945021044746388180e-04
3.344764884149596128e+03 1.178158859500293421e-01 4.168868134464184523e-04
3.348109649033746791e+03 1.220750234781971533e-01 3.755835734151827124e-04
3.351457758682781787e+03 1.267264110944847644e-01 3.643769976703365040e-04
3.354809216441465651e+03 1.318358298521531968e-01 3.675154019927242719e-04
3.358164025657908041e+03 1.374062875860433408e-01 3.702631871173812299e-04
3.361522189683567376e+03 1.435324213879165811e-01 3.789657843603378437e-04
3.364883711873251741e+03 1.501333739163087377e-01 4.149262594363593631e-04
3.368248595585126168e+03 1.567726490704433595e-01 4.291051474251841944e-04
3.371616844180712633e+03 1.640312784068351515e-01 4.984695764426731908e-04
3.374988461024894150e+03 1.714807542311629074e-01 4.855211481783669176e-04
3.378363449485920228e+03 1.787824345160228812e-01 5.363067889287269916e-04
3.381741812935407324e+03 1.859653995589677089e-01 5.444342841800348630e-04
3.385123554748343849e+03 1.926981736454163874e-01 5.567981224310875705e-04
3.388508678303093347e+03 1.989321050579839489e-01 5.810773889598864822e-04
3.391897186981397681e+03 2.050772300236891055e-01 5.142279024271127676e-04
3.395289084168380214e+03 2.103253654631162817e-01 4.839275625584343963e-04
3.398684373252549449e+03 2.147896789878150359e-01 4.671854035484677070e-04
3.402083057625803121e+03 2.185412895197932914e-01 4.558510506615738502e-04
3.405485140683430018e+03 2.215418533330585638e-01 4.609213637814272234e-04
3.408890625824114522e+03 2.237201713761037825e-01 5.348313525149524933e-04
3.412299516449939802e+03 2.252757707968057188e-01 5.561602006280889996e-04
3.415711815966390986e+03 2.260305921519073225e-01 5.639333531342097770e-04
3.419127527782358356e+03 2.258321584287328598e-01 5.058463115631614548e-04
3.422546655310141887e+03 2.250324344646633945e-01 4.697645400941372301e-04
3.425969201965453522e+03 2.236024355716934864e-01 4.531649253403220940e-04
3.429395171167419903e+03 2.217506477815891219e-01 4.539430044364422623e-04
3.432824566338588284e+03 2.193732341166065303e-01 4.325034611352708536e-04
3.436257390904928343e+03 2.166494641103051677e-01 4.116375492047239242e-04
3.439693648295834464e+03 2.136992273868024150e-01 4.075047074228033269e-04
3.443133341944131189e+03 2.105602949781312239e-01 4.211205017388857698e-04
3.446576475286076402e+03 2.073298310002789080e-01 4.676517444557786243e-04
3.450023051761363604e+03 2.042306655183475372e-01 5.526097674425731621e-04
3.453473074813126004e+03 2.014007009304784324e-01 6.217863604402477842e-04
3.456926547887940615e+03 1.986566123246946702e-01 6.938507095369565118e-04
3.460383474435829612e+03 1.960737969611881237e-01 7.069336450442086691e-04
3.463843857910266706e+03 1.938527303537030122e-01 6.938372235620336769e-04
3.467307701768178049e+03 1.919355632584620330e-01 6.286690999824096071e-04
3.470775009469947236e+03 1.905228321535051839e-01 5.928859035433165815e-04
3.474245784479418489e+03 1.897200812733715880e-01 6.499269005841971664e-04
3.477720030263898934e+03 1.894927354155853949e-01 7.579843238646912082e-04
3.481197750294164052e+03 1.896094691656579345e-01 8.606223441831815360e-04
3.484678948044459503e+03 1.902043973484405237e-01 9.332706622530921418e-04
3.488163626992504760e+03 1.909444736445057855e-01 9.453203007434170767e-04
3.491651790619498570e+03 1.920197841142913531e-01 9.680067819562629666e-04
3.495143442410119405e+03 1.933167364761774754e-01 8.923424849140010589e-04
3.498638585852530468e+03 1.946591880614185477e-01 7.259343356600392793e-04
3.502137224438384237e+03 1.957590273751118604e-01 5.975864640975177885e-04
3.505639361662823831e+03 1.964730005061135765e-01 5.880101006689609361e-04
3.509145001024487556e+03 1.967047391922222277e-01 6.536541834956101317e-04
3.512654146025513455e+03 1.962860899128016923e-01 5.637449879370574944e-04
3.516166800171540217e+03 1.961599946847421561e-01 5.802931660770549492e-04
3.519682966971712631e+03 1.958564319399997700e-01 5.819814375255470120e-04
3.523202649938685681e+03 1.953462363542341207e-01 5.209952072680509296e-04
3.526725852588625457e+03 1.949277418606595313e-01 4.374387613731614121e-04
3.530252578441215064e+03 1.945679694177959440e-01 2.380111118959822212e-04
3.533782831019657806e+03 1.947211244941175479e-01 2.283577798327918705e-04
3.537316613850678550e+03 1.952768615531610963e-01 2.199078709083514109e-04
3.540853930464530094e+03 1.961270534989719982e-01 1.787016375144426261e-04
3.544394784394995895e+03 1.971313834007404620e-01 1.818945369056798177e-04
3.547939179179392340e+03 1.982071412804823352e-01 1.908281772048210309e-04
3.551487118358572843e+03 1.995081719348986704e-01 2.285167657934726127e-04
3.555038605476932389e+03 2.008750451300123085e-01 2.880954085673032385e-04
3.558593644082410719e+03 2.021777843377683681e-01 3.148090691727507395e-04
3.562152237726494150e+03 2.034239368563798556e-01 3.123042729303021213e-04
3.565714389964221937e+03 2.045206875609298924e-01 3.307932104058092194e-04
3.569280104354187188e+03 2.054958794916294795e-01 3.301654299274961587e-04
3.572849384458542772e+03 2.063795986764862533e-01 3.236717356462280549e-04
3.576422233843002232e+03 2.070429842441480484e-01 3.096371605833274279e-04
3.579998656076846601e+03 2.073827071430875413e-01 3.201508948116135885e-04
3.583578654732924406e+03 2.073637434218646436e-01 2.992567632101253297e-04
3.587162233387658489e+03 2.069411137293522551e-01 2.719972113954368591e-04
3.590749395621047370e+03 2.060383446946220665e-01 2.744058908970656188e-04
3.594340145016669794e+03 2.047273692196694139e-01 2.760176300158511038e-04
3.597934485161687462e+03 2.031286558346808713e-01 2.750091278703767719e-04
3.601532419646850485e+03 2.012833895009692453e-01 2.802001894542278395e-04
3.605133952066498296e+03 1.993830185716721770e-01 2.942026552268794536e-04
3.608739086018566013e+03 1.974991074479141018e-01 3.257527913051925486e-04
3.612347825104585809e+03 1.958358320962429178e-01 3.984672817262548518e-04
3.615960172929691907e+03 1.944113906599080066e-01 4.787191137321024120e-04
3.619576133102622407e+03 1.934272062883838073e-01 5.552334712691942703e-04
3.623195709235726554e+03 1.929390753503414380e-01 6.197855259790462090e-04
3.626818904944963379e+03 1.935963746732172752e-01 5.803933067249806036e-04
3.630445723849909427e+03 1.952910579293404281e-01 5.158566044954910734e-04
3.634076169573760581e+03 1.984273041022531214e-01 3.778034307163304550e-04
3.637710245743335690e+03 2.032998759410126199e-01 2.722399420787503170e-04
3.641347955989080219e+03 2.100520660267527762e-01 2.699614370285279355e-04
3.644989303945070333e+03 2.184891158228887409e-01 2.829477549750802011e-04
3.648634293249016537e+03 2.284803758705428178e-01 3.412346495580147903e-04
3.652282927542266862e+03 2.398084074831347001e-01 3.977593005882780887e-04
3.655935210469810499e+03 2.523517158829290952e-01 4.810249235905071684e-04
3.659591145680281443e+03 2.658925717437765623e-01 5.845204239842123704e-04
3.663250736825963031e+03 2.799916773238054213e-01 5.728039202268186665e-04
3.666913987562790226e+03 2.940966282689475020e-01 4.937487879368047949e-04
3.670580901550354156e+03 3.081686943020615077e-01 4.017063319155787272e-04
3.674251482451905758e+03 3.214076967275011909e-01 3.650039909065716688e-04
3.677925733934358959e+03 3.334007257978842675e-01 3.346646181718187260e-04
3.681603659668294313e+03 3.441398536750635562e-01 3.657469113159656881e-04
3.685285263327964003e+03 3.529467555455970129e-01 4.355469849648308683e-04
3.688970548591293209e+03 3.592600081788518418e-01 4.733175426050283542e-04
3.692659519139885560e+03 3.629542096696978248e-01 5.343943674558695447e-04
3.696352178659026777e+03 3.636533363765897531e-01 5.241128884801274411e-04
3.700048530837686940e+03 3.612470781295039624e-01 4.566289011600722838e-04
3.703748579368525952e+03 3.556351591679839941e-01 4.370046695605245973e-04
3.707452327947895355e+03 3.469067995937473725e-01 4.997453611958291124e-04
3.711159780275844696e+03 3.353198975122699266e-01 6.381526546747633057e-04
3.714870940056121526e+03 3.209103022315975551e-01 7.580969466301028508e-04
3.718585810996179134e+03 3.044226120842626893e-01 8.274348166389930209e-04
3.722304396807176545e+03 2.863668402411359004e-01 8.832750161068163904e-04
3.726026701203984885e+03 2.678178886141923121e-01 8.134010499872398794e-04
3.729752727905190113e+03 2.484872407346614964e-01 7.373754073494640220e-04
3.733482480633096657e+03 2.297552685488979396e-01 6.517635146014669895e-04
3.737215963113731050e+03 2.117677613334734421e-01 3.057452030173005695e-04
3.740953179076846027e+03 1.961288481925639038e-01 2.831486224977174289e-04
3.744694132255923705e+03 1.824164548787024220e-01 2.735112329631221454e-04
3.748438826388181042e+03 1.710111259041486309e-01 3.254156818718507180e-04
3.752187265214570289e+03 1.618472168092299213e-01 4.217038513454407565e-04
3.755939452479786269e+03 1.547661150892309934e-01 5.279909046454190052e-04
3.759695391932267285e+03 1.499136835819690206e-01 5.487420255933961755e-04
3.763455087324201031e+03 1.469615661653023708e-01 4.954233105117812619e-04
3.767218542411526414e+03 1.454305191502570094e-01 4.486382131716551425e-04
3.770985760953939007e+03 1.452882837095187396e-01 2.567378554516126419e-04
3.774756746714894234e+03 1.460434060026237213e-01 1.436309640617787638e-04
3.778531503461610555e+03 1.474335660778308688e-01 1.234552829988790133e-04
3.782310034965073100e+03 1.494682179893166429e-01 1.297216028736016403e-04
3.786092345000039586e+03 1.518930225519679600e-01 1.480552798671924545e-04
3.789878437345040766e+03 1.548089830290818036e-01 1.210265129890199048e-04
3.793668315782387253e+03 1.581735882723412923e-01 1.261386698775261749e-04
3.797461984098170888e+03 1.620124467418897762e-01 1.612496685346066620e-04
3.801259446082270188e+03 1.661163502649133927e-01 1.998037678366111852e-04
3.805060705528353537e+03 1.704126801196754748e-01 2.067316281531281284e-04
3.808865766233883278e+03 1.750413668952597868e-01 1.930353597618535654e-04
3.812674632000118436e+03 1.800345432251886091e-01 1.953188446180553349e-04
3.816487306632119726e+03 1.855621258480684155e-01 2.501929935419065082e-04
3.820303793938753188e+03 1.917842721889604918e-01 3.427568465491622547e-04
3.824124097732693372e+03 1.990654121660639930e-01 3.890466702301302268e-04
3.827948221830427428e+03 2.077771133593909192e-01 3.901566699894741205e-04
3.831776170052258749e+03 2.181633505880263280e-01 3.556516584429005859e-04
3.835607946222312421e+03 2.306993761663895803e-01 2.509880153763405035e-04
3.839443554168536139e+03 2.456716189492305913e-01 1.901185772588919170e-04
3.843282997722705659e+03 2.631302124102467555e-01 1.608823792627217823e-04
3.847126280720429804e+03 2.834826713038397505e-01 1.657461991239380500e-04
3.850973407001151372e+03 3.066081918094496483e-01 1.946192834098510222e-04
3.854824380408153957e+03 3.325444464076334206e-01 1.988453447813278753e-04
3.858679204788563311e+03 3.611062196953914172e-01 2.731782091513441989e-04
3.862537883993353262e+03 3.923785937122004075e-01 3.412361056160641498e-04
3.866400421877347981e+03 4.262278325122685341e-01 3.345420067660988131e-04
3.870266822299226533e+03 4.626144582081656020e-01 3.406126414913890994e-04
3.874137089121526969e+03 5.009421559475526475e-01 4.028518361860153091e-04
3.878011226210649966e+03 5.407463629725386411e-01 5.962757163015850554e-04
3.881889237436861549e+03 5.812759096777810885e-01 6.970309411177890184e-04
3.885771126674299921e+03 6.216388198538085330e-01 6.918254502578896452e-04
3.889656897800975457e+03 6.611390380189738902e-01 6.586422951875640355e-04
3.893546554698777527e+03 6.987273728100406034e-01 5.606965762431772660e-04
3.897440101253477678e+03 7.336437896124859970e-01 4.286303527990670270e-04
3.901337541354732366e+03 7.651569287223414229e-01 3.545981040931118111e-04
3.905238878896088409e+03 7.923664246512914788e-01 3.318611379465764431e-04
3.909144117774985716e+03 8.152143478134443733e-01 3.820894885662612936e-04
3.913053261892762293e+03 8.330796469423165096e-01 4.669624248788107560e-04
3.916966315154656058e+03 8.454597565193765485e-01 5.056277485745553453e-04
3.920883281469812118e+03 8.526792664434276192e-01 5.273077564177326747e-04
3.924804164751283224e+03 8.542996435792326038e-01 4.974896961139798745e-04
3.928728968916035683e+03 8.509571283096738492e-01 4.102516795120308307e-04
3.932657697884953450e+03 8.425102974677314283e-01 7.247358060931328961e-04
3.936590355582839493e+03 8.299131866845683714e-01 1.059031430437428097e-03
3.940526945938423523e+03 8.144393025176382972e-01 1.066524495802370414e-03
3.944467472884363360e+03 7.973725038699482903e-01 9.616782604236508419e-04
3.948411940357249023e+03 7.794884047554586637e-01 7.644632910987254762e-04
3.952360352297607733e+03 7.620276695600164407e-01 7.578024588242649514e-04
